Instance,#cols,#rows,DXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
Geant2009.txt,46,16272,179.9102,206876241822531419589522189500640198999107813945009331982080,7,,19203
Geant2010.txt,44,17643,169.8684,2039888960520741211356885071103348586967815799049337903680,8,,19624
Geant2012.txt,45,18639,263.1149,84281484538735062171868395307266889489569117199673856,7,,23090
Globenet.txt,56,12729,251.5065,64421415402945201674398356763513082231810880,6,,18067
GtsCe.txt,149,4051,445.5596,357777756039340490456824967214492443885329030465923631414838832615013377967579468775829665568383872532272566136331381517890643264,6,,1658432
HiberniaGlobal.txt,47,3672,16.3166,167702743319829806575827120,5,,3210
Highwinds.txt,48,18878,1434.3245,8138287226951413662322901815490966247900,4,,47807
Iij.txt,51,17880,244.4211,137108949987302317974696724082337580832771051874000,6,,18643
Intellifiber.txt,51,3261,22.3240,36549802787055953709844384931432745900000,5,,8027
Internode.txt,42,5309,21.6328,17086140349704335830394759139844981612560,10,,6418
Interoute.txt,110,3675,323.4852,834873003973592677064539574704887952857505340922884386471939116957234108080553776472986407559136000,5,,1160749
Intranetwork.txt,41,2852,3.5485,10550301506245098778162949708954793612570,8,,3158
Ion.txt,112,6265,75.6837,28975221696578908070326048800825600,9,,5185
Iris.txt,58,8078,48.0035,112566891049207111041061862674382154408460800,8,,9574
Kdl.txt,754,4889,TO,,,,
Latnet.txt,115,2932,101.0755,881192229446354281751953125000,16,,4299
Missouri.txt,48,7691,136.7830,1998709288134217991220,4,,5486
Ntelos.txt,62,7982,169.5398,26425916772671025423094095498996280008308573060321280,8,,13491
Ntt.txt,54,3502,12.7560,2240076355517039400341618299647502136137432699354194169036800,20,,10910
Oteglobe.txt,76,10506,637.0542,1380078795623701280078238316576410696206210115871703040,14,,19544
Palmetto.txt,54,15699,205.4393,49996540641318003921652453825595413815846246081735920349645000,8,,27674
Pern.txt,29,10499,31.2216,31359896822482775963408666258232795984375,7,,10366
PionierL3.txt,45,16083,298.1445,22085582726425610222238166859596321920,6,,13954
RedBestel.txt,104,10073,88.2080,50416119991323377742371541676488442824955135029567342908357567711318435520000,11,,13070
Renater2010.txt,53,20026,874.2680,4018842348241317110117714562080347023626759380278336,5,,33358
RoedunetFibre.txt,53,5542,23.7943,26673886912630445540817492515755968,7,,4996
Sinet.txt,31,15324,215.7034,191673857894640619440941948761812,5,,13578
Surfnet.txt,45,5697,95.5746,94800684301945458535179937248,4,,6908
