Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10646.100.txt,164,665,0.1507,9820844339917672108320000,7,,73393
grafo10648.98.txt,161,1387,0.4934,356474569742739338284800,5,,43755
grafo10650.98.txt,164,3301,4.8365,34469998616098897969669380,8,,1230481
grafo10652.100.txt,178,2919,13.4575,3980767004196538169400792876,7,,2590988
grafo10653.100.txt,181,1712,1.5002,1342945475430854403482774400,6,,411670
grafo10662.100.txt,168,829,0.4472,27178777349470484479346220000,6,,229658
grafo10663.99.txt,157,790,0.1131,10004537904397046812627562880,7,,37314
grafo10670.100.txt,171,13528,,,,,
grafo10671.100.txt,176,1520,20.3300,624388665254004882462918502728,4,,1573657
grafo10674.99.txt,161,1282,0.3335,5795087564123430300037643026176,7,,133931
grafo10676.100.txt,155,741,0.1123,88449251051691116273910908805120,8,,35822
grafo10685.98.txt,157,783,0.3159,18933970214606610605994945868800,7,,43220
grafo10688.95.txt,170,1972,27.6257,7478197582294315268144635392,11,,803819
grafo10689.98.txt,167,1962,0.2221,1370682840424281115042080000,7,,21082
grafo10693.98.txt,156,733,0.2146,15811121663230543469294733740160,8,,21705
grafo10694.96.txt,,,TO,,,,
grafo10695.98.txt,157,746,0.1904,152426309856396886819860480,8,,56204
grafo10696.99.txt,169,1113,0.6760,5204648458409465990708001445500,6,,280709
grafo10698.95.txt,150,683,0.0658,195624642073083526902416762880,8,,11686
grafo10700.98.txt,159,705,0.1718,2303423420658486348064432128000,7,,38453
grafo10712.98.txt,167,1341,0.6856,87350475221980225179971773660000,8,,49786
grafo10713.92.txt,163,1518,8.3261,762509519166958396577520,11,,3072942
grafo10714.99.txt,,,TO,,,,
grafo10722.96.txt,155,1546,0.3278,7181570767061926043280,8,,16873
grafo10726.99.txt,170,1087,10.6333,1169419974189722162550556681572,9,,102638
grafo10735.99.txt,181,27961,,,,,
grafo10736.99.txt,165,1087,6.0790,887785238808388365200371008,9,,51437
grafo10737.99.txt,162,972,0.6718,948450972521583413184960,9,,81515
grafo10750.100.txt,167,923,0.1575,79424048531055784214151971742570,8,,51300
grafo10758.96.txt,159,1112,0.1242,14393936331269128652052040205472000,8,,34408
grafo10760.96.txt,168,1424,5.6941,47969850313152624399903360,8,,286431
grafo10772.100.txt,174,20927,,,,,
grafo10780.99.txt,173,1612,49.2475,100508535343249538967989285400,6,,16361529
grafo10781.100.txt,170,1949,243.8288,115904975589037669173480,8,,31040
grafo10792.98.txt,162,1208,3.5688,54647925002527690601441814067200,7,,60067
grafo10806.97.txt,156,835,8.6770,35881456142072374461716455296,4,,3268410
grafo10807.95.txt,161,2560,433.5475,714436079805522405813600,14,,334668
grafo10808.98.txt,163,1385,0.4944,378121638730523407451224668000,6,,154671
grafo10810.97.txt,,,TO,,,,
grafo10811.96.txt,161,728,2.8977,62515660367842952114211840,9,,444513
grafo10814.98.txt,167,1164,0.6479,1117495720365979210503524659200,6,,295850
grafo10820.100.txt,178,283366,,,,,
grafo10825.98.txt,160,666,0.0977,448703730980795389658142516768,8,,16075
grafo10827.99.txt,176,3159,2.3167,56248332940369085364361434240,7,,92459
grafo10829.97.txt,163,698,0.2100,353239596240320941062912000,10,,94828
grafo10831.98.txt,157,697,0.1756,132171520291202302513208524800,8,,44339
grafo10832.94.txt,174,238557,,,,,
grafo10836.97.txt,163,1068,0.9003,53328914740725442127812132608,8,,18595
grafo10849.95.txt,155,772,0.4396,146263666707748943943862272000,8,,19468
grafo10854.99.txt,156,949,0.0862,193281731960144890703093299425600,8,,36063
grafo10859.97.txt,165,726,0.7137,619544659954727747936779866,7,,79516
grafo10860.93.txt,154,939,0.1248,82576179328076510630400,7,,8250
grafo10861.100.txt,169,841,0.1121,8276820258735217590656236955688000,8,,50757
grafo10862.98.txt,168,40573,,,,,
grafo10864.99.txt,164,1618,0.8595,16665764537733819344371841148,5,,295695
grafo10865.100.txt,171,71059,,,,,
grafo10866.98.txt,159,2116,95.1524,68356609829134711234891176546,7,,1515713
grafo10876.98.txt,170,111277,,,,,
grafo10878.94.txt,152,1002,0.1542,40448324839475188109531614233600,8,,54848
grafo10882.95.txt,156,869,0.4821,447542272092260259015739440,7,,147307
grafo10883.93.txt,157,1366,0.1624,2430118976009979196378800000,8,,17575
grafo10898.95.txt,153,737,1.5206,775463126655736120469868000,8,,17159
grafo10905.97.txt,151,682,0.1593,12135924843732264824121600000,8,,17459
grafo10907.99.txt,165,2875,1.9376,32617260794404341954987264,6,,59064
grafo10908.98.txt,159,988,0.2901,7066137500821101460616320000,6,,86961
grafo10911.100.txt,181,38757,,,,,
grafo10918.98.txt,166,784,0.7583,32800655762924646232844208,9,,345332
grafo10919.97.txt,160,769,0.3855,4873808896014194882486512200,6,,56649
grafo10926.99.txt,162,703,0.0377,401726519668839391778054937600,8,,15648
grafo10928.100.txt,178,1222,5.3410,9190775083893630767018589621420,8,,630768
grafo10937.100.txt,158,733,0.0963,911001366204729030069480720000,7,,50702
grafo10943.95.txt,154,712,0.6841,2232135796878792160387153920000,8,,333708
grafo10945.98.txt,161,1093,0.1382,95891009417905168894140000,6,,46385
grafo10950.97.txt,175,210880,,,,,
grafo10952.96.txt,164,2080,204.2162,391142178847692823817972160,7,,509910
grafo10958.98.txt,183,131487,,,,,
grafo10962.100.txt,172,16244,,,,,
grafo10970.100.txt,163,758,0.3904,2682497001892752749227723200,5,,153974
grafo10972.95.txt,157,968,6.9182,730245111490256436936613455936,9,,1676661
grafo10976.92.txt,163,1705,14.9333,10759050697100237213220300916440,8,,140859
grafo10998.100.txt,186,103117,,,,,
grafo11000.99.txt,171,916,0.3316,1217725012095539482686059005177080,7,,168819
grafo11001.97.txt,173,17819,,,,,
grafo11003.100.txt,159,764,0.3991,3976500109492379707984200000,7,,180939
grafo11008.99.txt,163,967,1.5895,3675202044093204249777040,9,,337455
grafo11011.100.txt,161,861,0.4756,140688757390106390892469346304000,8,,42911
grafo11014.100.txt,159,755,0.1661,102697395571048994633321097098231808,8,,69105
grafo11015.98.txt,162,1360,2.1653,5866401355844362270153280797824,6,,738039
grafo11016.98.txt,161,1253,0.1385,7526571230364813338624640,8,,25972
grafo11020.100.txt,164,823,0.2858,20444842677214024445820085111800000,8,,110793
grafo11035.99.txt,165,816,0.1074,26848343803661264515276800,8,,14922
grafo11037.99.txt,160,1011,23.1705,929787783209835694443762336,9,,8105368
grafo11039.96.txt,154,597,2.6060,3389918511944201602117280,8,,377880
grafo11044.95.txt,144,501,0.1231,1375707512184864811680,8,,30045
grafo11047.92.txt,,,TO,,,,
grafo11050.98.txt,158,745,0.4166,22120517630957638241159616,6,,123055
grafo11056.98.txt,163,965,0.2708,139448046035464528744346345472,8,,112345
grafo11060.99.txt,160,823,0.3630,2221581091015208181652619592894,7,,85105
