Instance,#cols,#rows,DLX,Solutions,Max Blocks,|ZDD|,|DNNF|
kts15-ptpt-0003.ec,132,390,0.0018,8,,,
kts15-ptpt-0004.ec,132,392,0.0029,1,,,
kts15-ptpt-0005.ec,132,396,0.0018 (WARNING: 0 solutions),0,,,
kts15-ptpt-0006.ec,132,388,0.0025,8,,,
kts15-ptpt-0007.ec,132,390,0.0025,12,,,
kts15-ptpt-0008.ec,132,388,0.0026 (WARNING: 0 solutions),0,,,
kts15-ptpt-0009.ec,132,389,0.0029,6,,,
kts15-ptpt-0010.ec,132,392,0.0028 (WARNING: 0 solutions),0,,,
kts15-ptpt-0011.ec,132,390,0.0034,4,,,
kts15-ptpt-0012.ec,132,390,0.0014,4,,,
kts15-ptpt-0013.ec,132,388,0.0035,24,,,
kts15-ptpt-0014.ec,132,388,0.0039,8,,,
kts15-ptpt-0015.ec,132,390,0.0034,14,,,
kts15-ptpt-0016.ec,132,391,0.0029,6,,,
kts15-ptpt-0017.ec,132,388,0.0025,24,,,
kts15-ptpt-0018.ec,132,394,0.0026,8,,,
kts15-ptpt-0019.ec,132,392,0.0031 (WARNING: 0 solutions),0,,,
kts15-ptpt-0020.ec,132,391,0.0040,8,,,
kts15-ptpt-0021.ec,132,388,0.0041,72,,,
kts21-ptpt-0001.ec,,,TO,,,,
kts21-ptpt-0002.ec,,,TO,,,,
kts21-ptpt-0003.ec,,,TO,,,,
kts21-ptpt-0004.ec,,,TO,,,,
kts21-ptpt-0005.ec,,,TO,,,,
kts21-ptpt-0006.ec,,,TO,,,,
kts21-ptpt-0007.ec,,,TO,,,,
kts21-ptpt-0008.ec,,,TO,,,,
kts21-ptpt-0009.ec,,,TO,,,,
kts21-ptpt-0010.ec,,,TO,,,,
kts21-ptpt-0011.ec,,,TO,,,,
kts21-ptpt-0012.ec,,,TO,,,,
kts21-ptpt-0013.ec,,,TO,,,,
kts21-ptpt-0014.ec,,,TO,,,,
kts21-ptpt-0015.ec,,,TO,,,,
kts21-ptpt-0016.ec,,,TO,,,,
kts21-ptpt-0017.ec,,,TO,,,,
kts21-ptpt-0018.ec,,,TO,,,,
kts21-ptpt-0019.ec,,,TO,,,,
kts21-ptpt-0020.ec,,,TO,,,,
kts21-ptpt-0021.ec,,,TO,,,,
kts21-ptpt-0022.ec,,,TO,,,,
kts21-ptpt-0023.ec,,,TO,,,,
kts21-ptpt-0024.ec,,,TO,,,,
kts21-ptpt-0025.ec,,,TO,,,,
kts21-ptpt-0026.ec,,,TO,,,,
kts21-ptpt-0027.ec,,,TO,,,,
kts21-ptpt-0028.ec,,,TO,,,,
kts21-ptpt-0029.ec,,,TO,,,,
kts21-ptpt-0030.ec,,,TO,,,,
kts21-ptpt-0031.ec,,,TO,,,,
kts21-ptpt-0032.ec,,,TO,,,,
kts21-ptpt-0033.ec,,,TO,,,,
kts21-ptpt-0034.ec,,,TO,,,,
kts21-ptpt-0035.ec,,,TO,,,,
kts21-ptpt-0036.ec,,,TO,,,,
kts21-ptpt-0037.ec,,,TO,,,,
kts21-ptpt-0038.ec,,,TO,,,,
kts21-ptpt-0039.ec,,,TO,,,,
kts21-ptpt-0040.ec,,,TO,,,,
kts21-ptpt-0041.ec,,,TO,,,,
kts21-ptpt-0042.ec,,,TO,,,,
kts21-ptpt-0043.ec,,,TO,,,,
kts21-ptpt-0044.ec,,,TO,,,,
kts21-ptpt-0045.ec,,,TO,,,,
kts21-ptpt-0046.ec,,,TO,,,,
kts21-ptpt-0047.ec,,,TO,,,,
kts21-ptpt-0048.ec,,,TO,,,,
kts21-ptpt-0049.ec,,,TO,,,,
kts21-ptpt-0050.ec,,,TO,,,,
kts21-ptpt-0051.ec,,,TO,,,,
kts21-ptpt-0052.ec,,,TO,,,,
kts21-ptpt-0053.ec,,,TO,,,,
kts21-ptpt-0054.ec,,,TO,,,,
kts21-ptpt-0055.ec,,,TO,,,,
kts21-ptpt-0056.ec,,,TO,,,,
kts21-ptpt-0057.ec,,,TO,,,,
