Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10339.95.txt,153,1082,34.5617,154016263775635045484598360,,13584273,
grafo10346.97.txt,152,602,0.8054,85352803321813705564434487680,,377547,
grafo10351.97.txt,154,1482,6.1912,3038905037451107695297801625,,2907959,
grafo10353.99.txt,161,735,42.0532,577766361841258571670729600,,16500021,
grafo10354.99.txt,161,728,0.0570,2635922965070113457943960,,50471,
grafo10359.95.txt,154,982,2.5213,21227801801995043517403231970880,,1141068,
grafo10362.94.txt,157,1134,,,,,
grafo10365.97.txt,175,2806,124.0854,25575665773078741736904396,,37214172,
grafo10369.100.txt,165,1164,5.2964,162269578159908999873968160,,2447000,
grafo10382.94.txt,165,11101,,,,,
grafo10383.99.txt,179,1810,,,,,
grafo10387.97.txt,157,704,0.0776,930997979683065433752600,,68527,
grafo10388.95.txt,165,1171,7.0825,100871271571286563976946948624,,3018386,
grafo10393.96.txt,172,1111,,,,,
grafo10405.97.txt,160,3673,5.3634,422648800154234723817440,,1473322,
grafo10409.96.txt,154,775,0.3900,139058476479714794419701648,,226381,
grafo10416.96.txt,154,891,0.7329,271249180459292492843434776,,473573,
grafo10418.100.txt,160,833,0.0322,147754061920021215867995714457600,,36394,
grafo10420.97.txt,156,770,0.0676,40799332872710765774848481424384,,64390,
grafo10421.99.txt,167,1119,1.7020,52350402903229612656419750400,,893061,
grafo10426.100.txt,177,982,40.7904,1827797067468109638242980393082096,,16433451,
grafo10432.99.txt,164,839,3.5681,39585030704867624378340600668160,,1575230,
grafo10434.98.txt,170,13460,,,,,
grafo10436.95.txt,161,1595,2.9823,4397495877745499771502988640640,,1437653,
grafo10441.98.txt,,,TO,,,,
grafo10444.100.txt,169,904,0.9067,16141694039854526732472576000000,,629678,
grafo10445.94.txt,165,1655,2.5776,139093053337462147403268096,,1239494,
grafo10446.95.txt,146,592,0.1359,1406626619252431805138851200,,88520,
grafo10452.94.txt,152,677,0.0372,1302522886890895552129225440,,38817,
grafo10453.97.txt,159,712,0.2362,978085055060719586502813757440,,177325,
grafo10467.100.txt,156,848,0.4784,829005255557150402856812544000,,323539,
grafo10469.100.txt,166,769,3.6490,29833391744907475521984,,1840501,
grafo10474.94.txt,169,5123,58.8389,379074909018099214651488,,21873175,
grafo10484.99.txt,171,1813,1.5655,2800300383570008750673277875,,833573,
grafo10488.98.txt,162,883,0.0725,147530693993345834083200,,59212,
