Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
grafo10469.100.txt,2.6276,29833371992729329249984,,2.6316,29833371992729329249984,,1.4871,29833371992729329249984,,1.5210,29833371992729329249984,
grafo10474.94.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10484.99.txt,1.5265,2800369925851353194772692875,,1.5278,2800369925851353194772692875,,1.0024,2800369925851353194772692875,,1.0063,2800369925851353194772692875,
grafo10488.98.txt,0.4968,147530693993345834083200,,0.4940,147530693993345834083200,,0.2458,147530693993345834083200,,0.2609,147530693993345834083200,
grafo10489.95.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10491.97.txt,45.3300,130734696450864539748417120,,45.3025,130734696450864539748417120,,45.1857,130734696450864539748417120,,45.1841,130734696450864539748417120,
grafo10492.96.txt,32.7589,38385060996073952528012304,,32.7461,38385060996073952528012304,,22.8810,38385060996073952528012304,,22.8800,38385060996073952528012304,
grafo10496.98.txt,36.5286,14326602878499623356934254944,,36.5601,14326602878499623356934254944,,26.5376,14326602878499623356934254944,,26.5067,14326602878499623356934254944,
grafo10501.96.txt,2.5709,60200824737438188138649600000,,2.5727,60200824737438188138649600000,,1.4417,60200824737438188138649600000,,1.4756,60200824737438188138649600000,
grafo10502.91.txt,2.2227,17145714310767787059504,,2.2201,17145714310767787059504,,2.0809,17145714310767787059504,,2.0769,17145714310767787059504,
grafo10508.100.txt,56.9962,4511299976859460536969453195036,,57.0051,4511299976859460536969453195036,,29.7521,4511299976859460536969453195036,,29.8290,4511299976859460536969453195036,
grafo10516.94.txt,8.0568,15349626258814572399639360,,8.0571,15349626258814572399639360,,8.0202,15349626258814572399639360,,8.0395,15349626258814572399639360,
grafo10522.99.txt,4.8298,1362396344215079666562581191680,,4.8229,1362396344215079666562581191680,,3.4590,1362396344215079666562581191680,,3.4736,1362396344215079666562581191680,
grafo10523.97.txt,1.0495,2582091752234108448983040,,1.0488,2582091752234108448983040,,0.6311,2582091752234108448983040,,0.6448,2582091752234108448983040,
grafo10532.99.txt,10.6430,462576742767318193685812243872,,10.6701,462576742767318193685812243872,,10.8945,462576742767318193685812243872,,10.9025,462576742767318193685812243872,
grafo10533.100.txt,7.4170,75765334881122745334866192794594400,,7.4140,75765334881122745334866192794594400,,4.5427,75765334881122745334866192794594400,,4.5107,75765334881122745334866192794594400,
grafo10534.100.txt,0.5360,6190404474802541320344211290206208,,0.5372,6190404474802541320344211290206208,,0.2151,6190404474802541320344211290206208,,0.2212,6190404474802541320344211290206208,
grafo10536.99.txt,0.4391,89947113720736152688205852520,,0.4385,89947113720736152688205852520,,0.2491,89947113720736152688205852520,,0.2495,89947113720736152688205852520,
grafo10537.95.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10538.100.txt,5.9235,789373682830989325271163816,,5.9132,789373682830989325271163816,,4.7586,789373682830989325271163816,,4.7800,789373682830989325271163816,
grafo10547.94.txt,2.0358,6784952125033040430938400,,2.0408,6784952125033040430938400,,1.5655,6784952125033040430938400,,1.5800,6784952125033040430938400,
grafo10549.99.txt,1.9830,1145040940241452014901674319885248,,1.9761,1145040940241452014901674319885248,,1.1665,1145040940241452014901674319885248,,1.0459,1145040940241452014901674319885248,
grafo10552.96.txt,11.1961,20889029397226285157195570148,,11.2140,20889029397226285157195570148,,9.5557,20889029397226285157195570148,,9.5543,20889029397226285157195570148,
grafo10560.95.txt,0.6619,10454917675207673432929607718912,,0.6643,10454917675207673432929607718912,,0.4434,10454917675207673432929607718912,,0.4118,10454917675207673432929607718912,
grafo10575.99.txt,7.6700,290401904358524035719206484192,,7.6508,290401904358524035719206484192,,5.2284,290401904358524035719206484192,,5.2472,290401904358524035719206484192,
grafo10577.100.txt,3.6624,289452947838024215689962434880,,3.6607,289452947838024215689962434880,,1.3848,289452947838024215689962434880,,1.2464,289452947838024215689962434880,
grafo10578.96.txt,0.6843,59448044221069477278245400,,0.6847,59448044221069477278245400,,0.3860,59448044221069477278245400,,0.3957,59448044221069477278245400,
grafo10586.100.txt,1.0170,3148492073586458925239257920,,1.0196,3148492073586458925239257920,,0.5126,3148492073586458925239257920,,0.4877,3148492073586458925239257920,
grafo10589.93.txt,5.2252,48907832318169911850493546530,,5.2273,48907832318169911850493546530,,3.1264,48907832318169911850493546530,,3.1667,48907832318169911850493546530,
grafo10592.98.txt,1.5378,2607343682329504256862467094951600,,1.5336,2607343682329504256862467094951600,,1.3491,2607343682329504256862467094951600,,1.3685,2607343682329504256862467094951600,
grafo10596.99.txt,1.5151,112465313385181924312362654720,,1.5143,112465313385181924312362654720,,1.5284,112465313385181924312362654720,,1.5237,112465313385181924312362654720,
grafo10603.100.txt,5.0102,670509391789522585608000,,5.0086,670509391789522585608000,,5.1606,670509391789522585608000,,5.1316,670509391789522585608000,
grafo10608.93.txt,0.7580,2731816373006312109429752800,,0.7604,2731816373006312109429752800,,0.3467,2731816373006312109429752800,,0.3503,2731816373006312109429752800,
grafo10624.91.txt,0.2461,28252598579182428029482758660,,0.2453,28252598579182428029482758660,,0.1338,28252598579182428029482758660,,0.1409,28252598579182428029482758660,
grafo10626.100.txt,0.2898,123805968402809495607386400,,0.2895,123805968402809495607386400,,0.1224,123805968402809495607386400,,0.1217,123805968402809495607386400,
grafo10630.94.txt,18.7011,42203028634531492749435200,,18.7029,42203028634531492749435200,,18.5617,42203028634531492749435200,,18.6203,42203028634531492749435200,
grafo10632.100.txt,2.9071,574873638719068404760642606008000,,2.9048,574873638719068404760642606008000,,2.6486,574873638719068404760642606008000,,2.6573,574873638719068404760642606008000,
