instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
grafo10445.94,0.313611,0.039878,0.393832,0.123908
grafo10446.95,0.066286,0.014282,0.087472,0.033245
grafo10452.94,0.036328,0.006899,0.046697,0.016086
grafo10453.97,0.160645,0.034573,0.214425,0.088644
grafo10467.100,0.253810,0.048968,0.324344,0.125429
grafo10469.100,0.372429,0.076034,0.553219,0.271430
grafo10484.99,0.277995,0.025394,0.325975,0.072728
grafo10488.98,0.081871,0.014838,0.110300,0.039934
grafo10492.96,5.204976,0.398578,6.536956,1.945322
grafo10501.96,0.462423,0.086525,0.612613,0.238977
grafo10502.91,0.329317,0.018288,0.421091,0.101086
grafo10516.94,1.186471,0.183766,1.726349,0.724322
grafo10522.99,0.848006,0.078121,1.012492,0.246941
grafo10523.97,0.162801,0.010774,0.210519,0.043414
grafo10532.99,1.828484,0.338479,2.494723,1.129683
grafo10533.100,1.330040,0.246275,1.749548,0.720929
grafo10534.100,0.101970,0.020350,0.134544,0.044566
grafo10536.99,0.079979,0.015799,0.111224,0.037015
grafo10547.94,0.342676,0.059428,0.461546,0.187332
grafo10549.99,0.358974,0.057680,0.471593,0.149827
grafo10552.96,1.609174,0.267687,2.285447,1.069349
grafo10560.95,0.122417,0.025148,0.162255,0.063953
grafo10575.99,1.309764,0.237349,1.816779,0.752895
grafo10577.100,0.569925,0.055083,0.775954,0.184280
grafo10578.96,0.105515,0.014215,0.142081,0.048315
grafo10586.100,0.183011,0.040598,0.258412,0.100891
grafo10589.93,0.804155,0.130216,1.123778,0.441115
grafo10592.98,0.281160,0.055649,0.398265,0.139574
grafo10596.99,0.213598,0.041996,0.319585,0.152650
grafo10603.100,0.882966,0.176415,1.173228,0.526535
grafo10608.93,0.136442,0.026899,0.179732,0.067596
grafo10624.91,0.049538,0.009469,0.062330,0.019567
grafo10626.100,0.052997,0.010902,0.067983,0.026216
grafo10630.94,2.937915,0.516099,4.118167,1.952413
grafo10632.100,0.521939,0.045887,0.621092,0.134398
grafo10634.96,0.954916,0.167199,1.336079,0.518585
grafo10635.95,0.209844,0.042547,0.283542,0.115006
grafo10637.94,0.210666,0.045837,0.268209,0.136221
grafo10638.100,0.214696,0.047590,0.292143,0.158847
grafo10644.100,0.342627,0.067626,0.450857,0.177329
grafo10646.100,0.201457,0.041339,0.285056,0.116110
grafo10648.98,0.462279,0.025367,0.553000,0.096121
grafo10650.98,5.585155,0.749522,6.326380,2.422709
grafo10653.100,1.774734,0.237719,2.442147,0.931542
grafo10662.100,0.694262,0.136188,0.940942,0.435254
grafo10663.99,0.116541,0.021999,0.135333,0.049728
grafo10676.100,0.103174,0.020839,0.136969,0.054093
grafo10685.98,0.123650,0.024355,0.161795,0.057723
grafo10688.95,4.472734,0.475502,6.251026,2.609899
grafo10689.98,0.221988,0.012514,0.264271,0.038448
grafo10693.98,0.059256,0.012251,0.071524,0.025483
grafo10695.98,0.180816,0.032957,0.240281,0.097850
