Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10017.96.txt,,,TO,,,,
grafo10072.97.txt,158,798,402.6819,13259058958914480360125792,16,,
grafo10084.97.txt,164,1260,7.5401,2215710702367944079837593600,11,,
grafo10093.98.txt,160,653,0.2319,12011373629043051434493001680,8,,
grafo10099.94.txt,153,885,486.7347,39349088628024795597276038431211520,14,,
grafo10100.99.txt,169,735,240.0010,7977811134928620432600,19,,
grafo10105.93.txt,163,2363,445.9294,1235530189623079694604780000,17,,
grafo10112.98.txt,170,1324,158.0625,12692215709904984401077716142166580,10,,
grafo10113.94.txt,149,719,70.3654,13552406625123665520153488091360,8,,
grafo10116.100.txt,174,2644,TO,,,,
grafo10124.100.txt,165,699,TO,,,,
grafo10126.98.txt,176,1728,TO,,,,
grafo10129.99.txt,168,4020,50.7732,198551644286553956304688320,16,,
grafo10130.97.txt,,,TO,,,,
grafo10146.97.txt,160,898,20.1430,36084888290235633242565472,12,,
grafo10151.94.txt,163,1536,TO,,,,
grafo10153.100.txt,164,1183,TO,,,,
grafo10156.97.txt,155,770,10.5062,20350483027459989276721853299680,15,,
grafo10160.96.txt,,,TO,,,,
grafo10161.99.txt,178,3163,66.9112,7499629965587176856336728953760,13,,
grafo10162.93.txt,155,1380,93.5083,16943723066030712130728,23,,
grafo10164.98.txt,,,TO,,,,
grafo10171.99.txt,165,1055,45.9260,15378287316672584254732985280,12,,
grafo10173.97.txt,162,1258,TO,,,,
grafo10175.99.txt,157,657,11.1255,85388328645309376216506001872,13,,
grafo10176.97.txt,164,1110,310.1029,110391288988965933859653042432,14,,
grafo10179.97.txt,165,1247,TO,,,,
grafo10184.100.txt,168,984,11.6314,774260303763303208390801489920,16,,
grafo10195.99.txt,167,683,4.1949,190292079107394297194953680,14,,
grafo10203.97.txt,152,748,0.5219,60240136444714215336356779770000,8,,
grafo10204.100.txt,165,1280,72.0050,29653634898146327380379042234220,11,,
grafo10205.97.txt,157,808,0.6708,1047098415602374598602584000,9,,
grafo10207.98.txt,156,891,1.8449,407524009110382244942767825920,11,,
grafo10209.99.txt,160,838,9.2125,1778405443010598595931612784,14,,
grafo10215.93.txt,149,638,0.7402,4429033439896804903015219200,8,,
grafo10218.99.txt,172,1568,745.5773,38667105817754346010481229216,12,,
grafo10220.97.txt,159,1339,101.6350,1790803918795800975261000000,12,,
grafo10223.100.txt,158,1123,21.5123,328837542685158315870007155,11,,
grafo10237.100.txt,169,3988,868.2133,56690839685714305150282092960,15,,
grafo10244.99.txt,169,1740,18.1646,9063532329631820153122673664,12,,
grafo10250.100.txt,162,906,2.7908,114852967527687017594839695360,12,,
grafo10259.100.txt,178,3900,237.2093,64165443845633858500762161900,15,,
grafo10262.100.txt,159,720,5.6331,6525746259024633846681600,10,,
grafo10265.100.txt,154,527,3.4469,32094343893604867070884746240,11,,
grafo10266.94.txt,146,604,3.3609,110801121815568366975240,11,,
grafo10269.99.txt,165,1798,85.6343,380480960212526987313930000,18,,
grafo10273.97.txt,160,1216,20.1902,33635956333383979125105139200,11,,
grafo10275.97.txt,156,899,248.9784,244643834228122975019518779960,12,,
grafo10288.95.txt,151,639,0.9455,67924110954574990800416160000,13,,
grafo10291.93.txt,145,744,50.4782,8089182960223746111277546359360,9,,
grafo10292.100.txt,,,TO,,,,
grafo10293.99.txt,166,870,4.9441,1189967169400391312521176624192,12,,
grafo10297.98.txt,159,712,5.8900,5047361956059511058420258045952,8,,
grafo10298.97.txt,161,887,0.9310,6411956755318891248938904345600,11,,
grafo10303.96.txt,164,749,1.7666,336623282871798635541043488000,9,,
grafo10305.100.txt,179,1630,2.4732,292616449355000172969265830912,10,,
grafo10318.98.txt,162,1251,36.1395,160075764596308430431394162528,11,,
grafo10325.96.txt,157,888,TO,,,,
grafo10327.97.txt,158,709,5.9573,6668191872233180852367168,11,,
grafo10339.95.txt,153,1082,374.4112,154016948980994323270086040,12,,
grafo10346.97.txt,152,602,657.5028,85352803321813705564434487680,14,,
grafo10351.97.txt,154,1482,656.8359,3038891642273243664196962750,13,,
grafo10353.99.txt,161,735,157.7006,577765059452569037115956736,13,,
grafo10354.99.txt,161,728,23.7742,2635922965070113457943960,15,,
grafo10359.95.txt,154,982,TO,,,,
grafo10362.94.txt,157,1134,33.0659,13439932228370461283870400,12,,
grafo10365.97.txt,175,2806,TO,,,,
grafo10369.100.txt,165,1164,0.9891,162269574458684398363738080,12,,
grafo10382.94.txt,,,TO,,,,
grafo10383.99.txt,179,1810,TO,,,,
grafo10387.97.txt,157,704,1.0090,928110106585327508832600,14,,
grafo10388.95.txt,165,1171,11.0655,100871271571286563976946948624,15,,
grafo10393.96.txt,172,1111,TO,,,,
grafo10405.97.txt,160,3673,TO,,,,
grafo10409.96.txt,154,775,1.6431,139058476479714794419701648,11,,
grafo10416.96.txt,154,891,3.7849,271249176254157952533452952,9,,
grafo10418.100.txt,160,833,1.7855,147754061920021215867995714457600,10,,
grafo10420.97.txt,156,770,0.9767,40799332872710765774848481424384,9,,
grafo10421.99.txt,167,1119,4.9550,52350402903229612656419750400,12,,
grafo10426.100.txt,177,982,TO,,,,
grafo10432.99.txt,164,839,66.9058,39585030704867624378340600668160,11,,
grafo10434.98.txt,,,TO,,,,
grafo10436.95.txt,161,1595,14.1747,4397495877745499771502988640640,14,,
grafo10441.98.txt,,,TO,,,,
grafo10444.100.txt,169,904,14.1883,16141694039854526732472576000000,15,,
grafo10445.94.txt,165,1655,20.5313,139093054073990193881088000,16,,
grafo10446.95.txt,146,592,3.2693,1406626619252431805138851200,9,,
grafo10452.94.txt,152,677,0.6840,1302522886890895552129225440,8,,
grafo10453.97.txt,159,712,16.0642,978085055060719586502813757440,9,,
grafo10467.100.txt,156,848,25.0311,829005255557150402856812544000,11,,
grafo10469.100.txt,166,769,576.1733,29833371992729329249984,19,,
grafo10474.94.txt,,,TO,,,,
grafo10484.99.txt,171,1813,4.4021,2800369925851353194772692875,13,,
grafo10488.98.txt,162,883,6.8853,147530693993345834083200,17,,
grafo10489.95.txt,,,TO,,,,
grafo10491.97.txt,169,3856,TO,,,,
grafo10492.96.txt,164,4638,TO,,,,
grafo10496.98.txt,176,3413,771.6324,14305056819480615155962966224,16,,
grafo10501.96.txt,157,847,25.9507,60200824737438188138649600000,13,,
grafo10502.91.txt,146,1113,49.7578,17145714310767787059504,14,,
grafo10508.100.txt,183,5889,TO,,,,
grafo10516.94.txt,156,915,602.2828,15349626258814572399639360,13,,
grafo10522.99.txt,164,2148,75.8418,1362396344215079666562581191680,12,,
grafo10523.97.txt,161,1455,9.1669,2582091752234108448983040,12,,
grafo10532.99.txt,163,953,383.4731,462566039822118771475073572512,13,,
grafo10533.100.txt,166,1116,254.6159,75765334881122745334866192794594400,13,,
grafo10534.100.txt,165,915,1.8770,6190404474802541320344211290206208,9,,
grafo10536.99.txt,154,737,2.2009,89947113720736152688205852520,8,,
grafo10537.95.txt,,,TO,,,,
grafo10538.100.txt,176,931,426.4734,789373682830989325271163816,14,,
grafo10547.94.txt,160,1118,75.1047,6784952125033040430938400,12,,
grafo10549.99.txt,171,1562,16.9690,1145040940241452014901674319885248,10,,
grafo10552.96.txt,170,1188,TO,,,,
grafo10560.95.txt,156,830,7.8267,10454917675207673432929607718912,10,,
grafo10575.99.txt,173,1229,173.9022,290401904358524035719206484192,13,,
grafo10577.100.txt,182,2713,63.9487,289452947838024215689962434880,13,,
grafo10578.96.txt,165,957,8.1436,59448044221069477278245400,11,,
grafo10586.100.txt,162,827,7.2520,3148492073586458925239257920,9,,
grafo10589.93.txt,165,1318,192.1051,48907524397035141831510108060,14,,
grafo10592.98.txt,157,799,41.5530,2607343682329504256862467094951600,8,,
grafo10596.99.txt,156,696,34.7066,112573774918535869185914200320,13,,
grafo10603.100.txt,162,554,201.0921,670515323535794966768000,12,,
grafo10608.93.txt,155,823,7.1758,2731816373006312109429752800,9,,
grafo10624.91.txt,149,701,0.5225,28252598579182428029482758660,8,,
grafo10626.100.txt,163,636,0.7902,123805968402809495607386400,9,,
grafo10630.94.txt,158,837,TO,,,,
grafo10632.100.txt,164,1556,26.4214,574873638719068404760642606008000,11,,
grafo10633.100.txt,179,4742,TO,,,,
grafo10634.96.txt,170,1196,226.5797,1654661607863151503791546470072,12,,
grafo10635.95.txt,163,840,24.7024,71356613932690877273184000,13,,
grafo10637.94.txt,152,600,112.1368,11214433932496991100576672,13,,
grafo10638.100.txt,162,599,230.4331,186453077689245827319552,15,,
grafo10644.100.txt,163,804,39.8978,465721805127078320112415926,15,,
grafo10646.100.txt,164,665,15.5149,9820844339917672108320000,14,,
grafo10648.98.txt,161,1387,28.9764,356474569742739338284800,13,,
grafo10650.98.txt,164,3301,672.9210,34469989471030631805056520,20,,
grafo10652.100.txt,178,2919,TO,,,,
grafo10653.100.txt,181,1712,656.8617,1342947580955101731654364320,12,,
grafo10662.100.txt,168,829,296.9086,27178777349470484479346220000,12,,
grafo10663.99.txt,157,790,1.7891,10004537904397046812627562880,13,,
