SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo2109.76,32.030353349,21870
grafo2119.66,176.519073725,15625
grafo2124.32,165.641057905,650
grafo2127.67,159.318021662,408702500
grafo2130.25,71.69157901200001,17550
grafo2132.99,175.870588942,556875
grafo2133.53,47.619817851,650
grafo2137.98,274.902672657,62127
grafo2139.51,203.47695423,525000
grafo2141.79,284.267906835,58736600
grafo2142.46,237.795053962,527800
grafo2145.32,312.119675064,113346121500
grafo2152.60,231.367948214,12214800
grafo215.75,209.619991812,503750
grafo2160.42,41.811461448,625
grafo2163.57,186.460452571,700
grafo2167.15,290.531341715,50606250
grafo2168.100,85.18920090100001,1875
grafo217.11,217.042753556,138008
grafo2173.47,307.650744125,526738240000
grafo2176.44,130.987681994,546875
grafo2184.42,222.795452741,3004400
grafo2185.47,75.524157555,12075
grafo2188.47,81.592446466,438750
grafo2191.67,231.282771977,250493750
grafo2193.59,51.209048289,625
grafo2200.88,102.609913841,11718750
grafo2203.72,104.120847702,263125
grafo2207.65,154.203371262,56700
grafo2212.54,292.988604478,10024504
grafo2216.78,156.593706929,16875
grafo2229.82,147.78255255,9375000
grafo2231.20,267.354139322,4857300
grafo2236.48,236.925702018,189573750
grafo2242.54,72.47880003500001,2800
grafo2243.65,254.56117135,13540800
grafo2244.16,320.216010994,1645366885344
grafo2246.93,335.8341693,549273074688
grafo2247.50,106.327340765,728
grafo2253.24,78.38369321899999,37800
grafo225.45,117.858869615,542500
grafo2259.40,312.894854338,2296238750
grafo226.41,205.572974528,29000
grafo2265.15,203.124099112,94575
grafo2266.49,123.381060311,132340
grafo2267.10,369.488399773,2404371762
grafo2268.73,35.876695412,650
grafo2270.67,42.295882138,650
grafo2275.47,225.903825707,2891036772
grafo2284.84,175.184638503,3942968750
grafo2285.76,211.817874757,995000
grafo228.58,167.993035575,676
grafo2287.90,131.167515187,22740
grafo2291.34,70.33772314799999,360600
grafo2300.41,206.775919326,45967500
grafo2309.31,31.59098052,675
grafo2321.73,32.470220552,1836
grafo2322.35,213.801576394,466784
grafo2323.45,83.56269954699999,23164002
grafo2325.51,242.573980684,177350175
grafo232.90,156.166015952,3125
grafo2335.94,243.59922803,8605197
grafo2336.87,53.905034953,625
grafo2340.31,87.277778216,406250
grafo2348.55,38.998675976,676
grafo2353.97,54.49062146,3224
grafo2354.70,259.058812812,1116875
grafo2355.72,203.026274619,437500
grafo2358.75,124.786380256,484375
grafo236.23,52.580174913,331400
grafo2366.52,228.795234106,11310000
grafo2367.54,308.875091826,199649322600
grafo2373.70,158.291456126,4205000
grafo2375.41,64.566609375,625
grafo2385.33,260.862007465,146250
grafo2386.36,194.147084697,17500
grafo2387.87,231.577906912,16953125
grafo2390.82,85.20362793,16250
grafo2391.72,173.421396636,675
grafo2396.44,128.564824113,484375
grafo2404.14,139.473405639,421571605000
grafo2406.50,91.912486387,241650
grafo2417.36,46.343624943,625
grafo2424.88,177.353749755,308100
grafo2426.96,232.812112531,71870500000
grafo2430.25,63.744100441,625
grafo2431.34,44.985313154,18928
grafo2438.95,62.101102932,858
grafo2439.98,164.60052769,19500
grafo2440.58,195.626155583,406250
grafo2444.17,144.532303078,14030
grafo2447.14,272.79751722,6208125
grafo2451.55,342.716086141,721891314144
grafo2452.99,230.673137242,438750
grafo2453.36,189.138080313,20925
grafo2456.54,45.203687024,625
grafo2457.83,365.530265404,54002894400
grafo2461.37,165.515968418,19656
grafo2464.86,220.851104794,39245700
grafo2467.26,296.731638366,8704800
grafo2469.41,218.938374418,12675000
grafo2470.85,168.600702429,84380100
grafo2471.62,196.424720161,390625
grafo2472.97,94.248889336,421875
grafo2477.48,187.518464923,1231875
grafo2479.41,291.384247316,84363146000
grafo2485.99,132.848007459,10530000
grafo2492.20,174.741671445,754
grafo2499.28,103.490000993,24884175
grafo2514.91,262.150446427,18006300
grafo2516.32,70.097109696,650
grafo2517.96,167.748941942,328900
grafo2519.51,87.058364744,18200
grafo252.53,108.883100269,42822
grafo2526.59,147.827785088,925
grafo2530.99,267.882627058,2095600
grafo253.11,34.483152536,750
grafo2534.60,50.647224115,850
grafo2536.81,86.480941786,16250
grafo2538.13,178.373672623,926055312
grafo2541.68,261.354929857,552593664
grafo2542.80,250.363815614,56505600
grafo2544.63,230.248216738,6052082
grafo2545.58,280.312138836,41640625
grafo2549.33,47.070057022,625
grafo2551.11,44.066445651,625
grafo2555.99,53.035810402,23200
grafo255.69,27.389633596,700
grafo2563.67,233.587208328,290782128
grafo2571.70,269.84059306,5011250
grafo2573.85,337.019031572,6143517120
grafo2574.70,182.966061259,675
grafo2580.92,92.41815670299999,455000
grafo258.13,286.42437024,4970168
grafo2585.90,28.014136547,625
grafo2591.49,303.849600923,18330937500
grafo2592.63,194.639394504,5052853750
grafo2596.32,116.884276994,406250
grafo2600.17,289.300861415,444000911250
grafo2603.99,182.676973674,197904
grafo2604.71,144.863775006,18900
grafo2606.67,177.127971675,4734375
grafo2613.57,271.346776991,3450720000
grafo2620.73,127.661225795,14742000
grafo2622.85,86.11027664700001,15625
grafo2624.43,124.385165556,675
