Instance,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
grafo263.11.txt,0.1708,1297200,4,0.1742,1297200,4,0.1698,1297200,4
grafo265.10.txt,0.0468,258720000,14,0.0413,258720000,14,0.0418,258720000,14
grafo268.15.txt,0.0371,1694000,12,0.0360,1694000,12,0.0382,1694000,12
grafo280.11.txt,0.7273,20872000,7,0.7059,20872000,7,0.7199,20872000,7
grafo281.14.txt,0.0418,245025000,14,0.0388,245025000,14,0.0406,245025000,14
grafo283.24.txt,0.0776,1404000,11,0.0825,1404000,11,0.0770,1404000,11
grafo284.28.txt,0.2169,625,4,0.2157,625,4,0.2183,625,4
grafo285.14.txt,0.1753,468750,8,0.1795,468750,8,0.1798,468750,8
grafo287.19.txt,0.0972,979200,11,0.0987,979200,11,0.0986,979200,11
grafo289.40.txt,0.0395,10912000,13,0.0379,10912000,13,0.0365,10912000,13
grafo292.16.txt,0.3995,506081250,8,0.3925,506081250,8,0.3995,506081250,8
grafo293.17.txt,0.0478,1400000,12,0.0440,1400000,12,0.0450,1400000,12
grafo295.15.txt,0.0479,3300000,13,0.0485,3300000,13,0.0461,3300000,13
grafo297.15.txt,0.0626,18150000,12,0.0698,18150000,12,0.0620,18150000,12
grafo299.19.txt,0.0361,25300000,14,0.0376,25300000,14,0.0399,25300000,14
grafo329.17.txt,0.0387,420000000,16,0.0423,420000000,16,0.0421,420000000,16
grafo331.15.txt,0.3358,5420250,8,0.3342,5420250,8,0.3371,5420250,8
grafo332.82.txt,0.1657,44800,7,0.1633,44800,7,0.1679,44800,7
grafo336.21.txt,0.1156,775,5,0.1134,775,5,0.1129,775,5
grafo337.15.txt,0.0344,53010000,13,0.0337,53010000,13,0.0342,53010000,13
